Firm Name,CRD Number,SEC Registration Type,Custodian,Has Proprietary Funds,ADV URL,IAPD Profile URL,FilingDate,Notes
VIVARIS CAPITAL LLC,318317,STATE,,,,,8/3/2023,
STONE PILLARS WEALTH MANAGEMENT,331308,STATE,,,,,3/26/2025,
"HACK VC ADVISOR SERIES, A SERIES OF HACK VC ADVISORS, LLC",325564,STATE,,,,,3/19/2025,
MECHE AND ASSOCIATES LLC,323419,STATE,,,,,4/22/2025,
ENDOWMENT PARTNERS LLC,306325,STATE,,,,,4/22/2025,
"GRAND STREET CAPITAL MANAGEMENT, L.L.C.",150293,STATE,,,,,4/22/2025,
NOCTURNE MANAGEMENT LLC,330541,STATE,,,,,4/3/2024,
ANVIK ADVISERS LLC,143807,STATE,,,,,6/4/2024,
NASH-HASTY PRIVATE WEALTH MANAGEMENT,328332,STATE,,,,,3/19/2025,
"ACROPOLIS PARTNERS, LLC",312129,STATE,,,,,2/25/2025,
LEGACY ADVISORS,117747,STATE,,,,,3/13/2024,
"AMERICAN FREEDOM INVESTMENTS, LLC",317335,STATE,,,,,3/26/2025,
NEXGEN INVESTMENTS LLC,322604,STATE,,,,,3/19/2025,
"FO INVESTMENTS, LLC",122479,STATE,,,,,3/26/2025,
STAR WEALTH ADVISORS,332344,STATE,,,,,3/19/2025,
EMERGENT GLOBAL INVESTMENTS,290875,STATE,,,,,3/26/2025,
"BEAULIEU & ASSOCIATES, LLC",168829,STATE,,,,,3/26/2025,
THE REAL ESTATE WHISPERER(R),324130,STATE,,,,,3/3/2025,
"THIRD SPHERE MANAGEMENT, LLC",301287,STATE,,,,,3/31/2025,
COLORADO DIVERSIFIED FINANCIAL,152315,STATE,,,,,1/30/2025,
"REDWOODS CAPITAL PARTNERS, LLC",334698,STATE,,,,,1/30/2025,
H CUBED FINANCIAL SOLUTIONS,287494,STATE,,,,,1/30/2025,
EDGON ADVISORY LLC,287530,STATE,,,,,3/22/2023,
"LMC INVESTMENTS, INC.",105351,STATE,,,,,3/31/2025,
TOUCHSTONE FINANCIAL PLANNING,132010,STATE,,,,,5/21/2024,
"INCLUDE VENTURE PARTNERS, LLC",317503,STATE,,,,,3/28/2024,
BALANCED WEALTH MANAGEMENT,159242,STATE,,,,,1/29/2025,
TAYLORS FINANCIAL,323416,STATE,,,,,3/31/2025,
LIFETIME WEALTH DESIGN LLC,165086,STATE,,,,,1/30/2025,
"CHESSIE ADVISORS, LLC",171611,STATE,,,,,3/31/2025,
"SKYLARK WEALTH, LLC",283522,STATE,,,,,3/31/2025,
"CINCINNATI WEALTH MANAGEMENT, INC.",291688,STATE,,,,,3/3/2025,
PILOT ASSET MANAGEMENT LLC,148146,STATE,,,,,3/31/2025,
"BOLD MANAGEMENT PARTNERS, LLC",282526,STATE,,,,,3/31/2025,
MAZE FINANCIAL PLANNING,140934,STATE,,,,,3/31/2025,
"PATRICK  J. KEATING INVESTMENT MANAGEMENT, LLC",153642,STATE,,,,,3/31/2025,
VERIST CAPITAL MANAGEMENT,150584,STATE,,,,,3/29/2022,
"TIER ONE CAPITAL, LLC",316996,STATE,,,,,3/30/2025,
"WPG ADVISORY GROUP, LLC",174200,STATE,,,,,3/25/2025,
GENFI LLC,156464,STATE,,,,,3/30/2025,
WINIECKI WEALTH MANAGEMENT,156007,STATE,,,,,2/18/2025,
BROOKS INVESTMENT ADVISORY SERVICE,130367,STATE,,,,,1/6/2025,
ALPHA FINANCIAL NORDIC,175450,STATE,,,,,3/24/2025,
ROADS CAPITAL LLC,153893,STATE,,,,,7/2/2024,
FINANCIAL SPYGLASS®,166378,STATE,,,,,2/18/2025,
MODELIST,327365,STATE,,,,,3/31/2025,
PACIFIC SHORES INVESTMENT ADVISORS,149710,STATE,,,,,2/18/2025,
"STAGES PLANNING GROUP, LLC",172232,STATE,,,,,2/18/2025,
"PROACTIVE ADVISORS, LLC",147332,STATE,,,,,3/31/2025,
DFG INVESTMENTS LLC,330790,STATE,,,,,3/24/2025,
"BUTTONWOOD PARTNERS, INC.",27108,STATE,,,,,7/2/2024,
TOP MARK CAPITAL MANAGEMENT,319106,STATE,,,,,1/6/2025,
THE ART OF FINANCE LLC,281950,STATE,,,,,2/18/2025,
"TREW ADVISORS, LLC",287827,STATE,,,,,2/18/2025,
APACHE BRIDGE LLC,296109,STATE,,,,,8/22/2022,
"SAPHIRA TECHNOLOGY PARTNERS, LLC",317526,STATE,,,,,2/18/2025,
"WHOLE FAMILY FINANCIAL SERVICES, INC.",305027,STATE,,,,,3/24/2025,
"HAMMER ASSET MANAGEMENT, LLC",106121,STATE,,,,,3/24/2025,
H&S TAX AND WEALTH ADVISORS LLC,290643,STATE,,,,,2/19/2025,
WALLS INVESTMENT MANAGEMENT COMPANY,123440,STATE,,,,,3/24/2025,
NOON INVESTMENT MANAGEMENT LLC,327870,STATE,,,,,3/24/2025,
"DA VENTURES MANAGEMENT, LLC",327722,STATE,,,,,3/24/2025,
"HERITAGE CAPITAL MANAGEMENT, INC.",117498,STATE,,,,,3/24/2025,
PATHLIGHT WEALTH MANAGEMENT,331642,STATE,,,,,3/24/2025,
"AWOYE CAPITAL, LLC",312286,STATE,,,,,2/17/2025,
KAI ADVISORS,137833,STATE,,,,,3/7/2025,
BLOCKTOWER CAPITAL ADVISORS LP,290170,STATE,,,,,3/7/2025,
BEST INVESTOR EVER CORPORATION,323869,STATE,,,,,3/24/2025,
"JENNINGS INVESTMENT GROUP, INC.",154389,STATE,,,,,3/24/2025,
TRUNORTH FINANCIAL LLC,331614,STATE,,,,,3/7/2025,
H H FINANCIAL CONSULTANTS,134630,STATE,,,,,1/5/2025,
"STARBOARD CAPITAL PARTNERS, LLC",173802,STATE,,,,,3/30/2022,
ANDRE CAUBARREAUX,117139,STATE,,,,,2/17/2025,
"SQA, LLC",320847,STATE,,,,,3/24/2025,
ALAKAI SECURITIES INC.,325911,STATE,,,,,4/21/2025,
"POTOMAC WEALTH STRATEGIES, LLC",151565,STATE,,,,,3/24/2025,
ESSEX ADVISORY,312140,STATE,,,,,5/27/2024,
GAINES CAPITAL MANAGEMENT,335414,STATE,,,,,4/22/2025,
"PERSONAL ECONOMIC PLANNING, LLC",151333,STATE,,,,,3/25/2025,
PREVETT FINANCIAL,307753,STATE,,,,,4/22/2025,
"56 CAPITAL PARTNERS, LTD",290938,STATE,,,,,3/24/2025,
"FLUID FINANCIAL PLANNING, LLC",285570,STATE,,,,,3/6/2025,
PURPOSE FINANCIAL PLANNING,331194,STATE,,,,,3/6/2025,
"WELLS INVESTMENTS, INC.",131076,STATE,,,,,3/6/2025,
HG TAILORED FINANCIAL SERVICES,317598,STATE,,,,,2/17/2025,
AZURE FINANCIAL ADVISORS LLC,149611,STATE,,,,,3/6/2025,
PROFESSIONAL RETIREMENT STRATEGIES LLC,287808,STATE,,,,,2/17/2025,
TRUE NORTH WEALTH,333452,STATE,,,,,3/6/2025,
"F. L. ARIAS & ASSOCIATES, LLC",164185,STATE,,,,,10/2/2023,
ROSE DIGITAL LLC,335006,STATE,,,,,4/22/2025,
S SQUARED RETIREMENT SOLUTIONS LLC,173297,STATE,,,,,4/22/2025,
NCT ADVISORS,169184,STATE,,,,,7/30/2024,
"PIVOTAL FINANCIAL SERVICES, INC.",143846,STATE,,,,,1/6/2025,
"MDD VENTURES, LLC",327367,STATE,,,,,1/6/2025,
GRAND CENTRAL FINANCIAL PLANNING,300197,STATE,,,,,2/6/2025,
VALIA,284366,STATE,,,,,3/6/2025,
SCOUT FINANCIAL PLANNING,139591,STATE,,,,,3/30/2025,
"WE ALLIANCE BLOCKCHAIN MANAGEMENT SOLUTIONS, LLC",323595,STATE,,,,,3/6/2025,
ADVANCED MATH INVESTING INC,165593,STATE,,,,,2/6/2025,
STRAIT DIRECTION WEALTH MANAGEMENT,314742,STATE,,,,,4/9/2024,
"AUGUST WEALTH GROUP, INC.",149542,STATE,,,,,3/25/2025,
MONEY EVOLUTION,269917,STATE,,,,,3/31/2025,
BLACKFIELD CAPITAL MANAGEMENT LLC,331774,STATE,,,,,3/24/2025,
BLACK LAKE CAPITAL CORP.,147399,STATE,,,,,2/6/2025,
"GREEN STREET IMPACT PARTNERS, LLC",328346,STATE,,,,,3/24/2025,
"MEDIATE FINANCIAL INVESTMENT ADVISORY SERVICES, LLC",158134,STATE,,,,,3/24/2025,
"AFFINITY CAPITAL, L.P.",109118,STATE,,,,,3/24/2025,
"FLORIAN TECHNOLOGIES, LLC",308355,STATE,,,,,2/6/2025,
GREGORY ADVISORS INC.,112537,STATE,,,,,2/6/2025,
ARTIFICIAL ALPHA INVESTMENTS,315902,STATE,,,,,3/24/2025,
"THEORY FORGE MANAGEMENT, LLC",332195,STATE,,,,,6/25/2024,
TARA WEALTH,328427,STATE,,,,,3/30/2025,
FOCUSED MISSION FINANCIAL,322953,STATE,,,,,3/31/2025,
MPE CAPITAL,288682,STATE,,,,,3/30/2025,
INFLECTION ADVISORS,288602,STATE,,,,,3/30/2025,
"JOHNSTON INVESTMENT ADVISORY SERVICES, LLC",143408,STATE,,,,,3/6/2025,
"KNIGHT AND COMPANY WEALTH ADVISORS, LLC",171840,STATE,,,,,3/24/2025,
"MERIDAN CAPITAL, LLC",139180,STATE,,,,,3/30/2025,
VESTED PARTNERS: A MULTI-FAMILY OFFICE,281862,STATE,,,,,3/6/2025,
"HOHENSEE FINANCIAL SERVICES, INC.",113381,STATE,,,,,3/6/2025,
"LEGACY FAMILY OFFICE, LLC",147160,STATE,,,,,3/25/2025,
WESTLAKE WEALTH MANAGEMENT LLC,308915,STATE,,,,,3/25/2025,
LOGOS FINANCIAL GROUP,321110,STATE,,,,,3/18/2025,
MCLEAN FINANCIAL PLANNING AND INVESTMENT MANAGEMENT,170717,STATE,,,,,2/17/2025,
MATTHEW J COHEN CONSULTING,284073,STATE,,,,,3/31/2025,
SWIFT CREEK WEALTH MANAGEMENT,300260,STATE,,,,,2/17/2025,
"WEST FINANCIAL STRATEGIES, INC.",118241,STATE,,,,,3/18/2025,
MOSAIC TAX STRATEGIES LLC,146614,STATE,,,,,6/25/2024,
"RJJ PASADENA SECURITIES, INC.",8425,STATE,,,,,9/23/2024,
"CAMERON ADVISORS, LLC",154815,STATE,,,,,5/13/2024,
"ADVISORPLANNER, LLC",282944,STATE,,,,,3/18/2025,
CRESCENT FUND,322311,STATE,,,,,2/17/2025,
VERITAS FINANCIAL CONSULTING LLC,314363,STATE,,,,,3/18/2025,
ADELE BRADY BOLSON CPA PS,116392,STATE,,,,,2/17/2025,
"VITALITY PLANNING, LLC",315580,STATE,,,,,3/31/2025,
CONFIDO CAPITAL,331517,STATE,,,,,6/19/2024,
SAGEPRO WEALTH MANAGEMENT,304384,STATE,,,,,2/16/2025,
WARWICK INVESTMENT MANAGEMENT,167264,STATE,,,,,2/17/2025,
147TH GROUP LLC,306848,STATE,,,,,2/17/2025,
HAVEN WEALTH PLANNING,328258,STATE,,,,,2/17/2025,
WYATT WEALTH MANAGEMENT,309482,STATE,,,,,2/17/2025,
"CACTUS CAPITAL, LLC",295235,STATE,,,,,2/17/2025,
PRIMUS WEALTH ADVISORS LLC,289438,STATE,,,,,2/17/2025,
SYW CAPITAL MANAGEMENT LLC,287956,STATE,,,,,3/18/2025,
FIRST STAR VENTURES,288548,STATE,,,,,3/31/2025,
DEMMA-NOVAK WEALTH MANAGEMENT,172311,STATE,,,,,3/31/2025,
GREENE & COMPANY FINANCIAL SERVICES LLC,126875,STATE,,,,,8/14/2024,
SCOTTSDALE CAPITAL ADVISORS CORPORATION,118786,STATE,,,,,9/29/2023,
SELECT INVESTMENT SERVICES,331739,STATE,,,,,3/3/2025,
SIXTY8 CAPITAL,315317,STATE,,,,,2/2/2024,
CORNERSTONE FINANCIAL ADVISORS,107595,STATE,,,,,3/30/2025,
VAN ALSTYNE & CO INC,111045,STATE,,,,,9/23/2024,
"SORA WEALTH, LLC",313208,STATE,,,,,3/25/2025,
SCHREINER FINANCIAL SOLUTIONS,322497,STATE,,,,,3/31/2025,
"SCHWAN FINANCIAL ADVISORS, LLC",127313,STATE,,,,,3/25/2025,
"TITTMANN & RUSCH, LLC",115054,STATE,,,,,3/3/2025,
GUARDIAN BROTHERS,330293,STATE,,,,,9/24/2024,
SOLID OAK ADVISORY,300575,STATE,,,,,3/25/2025,
SANTA CRUZ WEALTH MANAGEMENT INC.,325737,STATE,,,,,5/13/2024,
AERIE CAPITAL MANAGEMENT,126518,STATE,,,,,3/25/2025,
ANALYTIC INVESTMENT MANAGEMENT LLC,144752,STATE,,,,,1/2/2025,
CARR CAPITAL MANAGEMENT,201512,STATE,,,,,3/25/2025,
TRISTATE WEALTH ADVISORS,333345,STATE,,,,,3/3/2025,
"KDX MANAGEMENT, LLC",328414,STATE,,,,,3/25/2025,
"JWC CAPITAL MANAGEMENT, LLC",311713,STATE,,,,,3/31/2025,
WOLF BAY WEALTH PARTNERS,331212,STATE,,,,,3/3/2025,
"SAB GROUP FINANCIAL, P.A",147008,STATE,,,,,1/2/2025,
SMARTPLAN INVESTING,141977,STATE,,,,,3/25/2025,
HEROIC FINANCIAL LLC,327809,STATE,,,,,1/4/2024,
LIFE BALANCE FINANCIAL,291718,STATE,,,,,3/3/2025,
CLARITY FINANCIAL,321702,STATE,,,,,3/3/2025,
CAPSTAN LLC,111937,STATE,,,,,3/25/2025,
WHITE CREST CAPITAL,210520,STATE,,,,,1/2/2025,
LIFETIME FINANCIAL,312171,STATE,,,,,3/25/2025,
INTEGRAL FINANCIAL PLANNERS,327666,STATE,,,,,3/25/2025,
TROMBLEY ASSOCIATES,312536,STATE,,,,,3/30/2025,
STRATMINDS VC,300945,STATE,,,,,3/30/2025,
"SKAGGS FINANCIAL PLANNING, LLC",124216,STATE,,,,,3/30/2025,
"TRAC ADVISOR GROUP, INC.",281128,STATE,,,,,3/26/2025,
JANCO WEALTH MANAGEMENT,108491,STATE,,,,,3/11/2025,
"SYSTEMATIC INSIGHTS CAPITAL, LLC",170179,STATE,,,,,3/31/2025,
"CRAWFORD ASSET MANAGEMENT, LLC",141475,STATE,,,,,2/3/2025,
"GTM CAPITAL MANAGEMENT COMPANY, LLC",319601,STATE,,,,,2/3/2025,
"SPEARTIP CAPITAL, LLC",317599,STATE,,,,,3/31/2025,
JAMES FINANCIAL ADVISORS,304967,STATE,,,,,3/31/2025,
"INDY WEALTH SOLUTIONS, LLC",283634,STATE,,,,,3/26/2025,
FINANCIAL MANAGEMENT CONSULTANTS LLC,114062,STATE,,,,,2/27/2025,
"RIVERSIDE INVESTMENT MANAGEMENT, INC.",126488,STATE,,,,,2/3/2025,
"GOLDFINCH FINANCIAL, INC.",172632,STATE,,,,,12/19/2024,
EVERKEY FINANCIAL LLC,325189,STATE,,,,,2/27/2025,
"IRVING ADVISORY GROUP, LLC",160169,STATE,,,,,2/3/2025,
CMA FINANCIAL SERVICES,283847,STATE,,,,,2/3/2025,
"COMPTON ADVISORS, LLC",126614,STATE,,,,,3/11/2025,
FINANCIAL PROFESSIONALS INCORPORATED,116869,STATE,,,,,3/11/2025,
"THE $ COACH, LLC",159557,STATE,,,,,3/26/2025,
"TRADEMARK RETIREMENT INCOME PLANNING, LLC",305433,STATE,,,,,3/31/2025,
HWC FINANCIAL,299845,STATE,,,,,2/27/2025,
TRELLA WEALTH,315090,STATE,,,,,2/27/2025,
KELLAM INSURANCE AND FINANCIAL SERVICES LLC,169922,STATE,,,,,2/27/2025,
"TWRU PRIVATE WEALTH MANAGEMENT, LLC",117222,STATE,,,,,3/11/2025,
"GSBACKERS, LLC",321057,STATE,,,,,3/31/2025,
"EVERGREEN CAPITAL HOLDINGS, LLC",312345,STATE,,,,,3/31/2025,
"CRUTCHFIELD ADVISORS, INC",174252,STATE,,,,,3/31/2025,
"CLSA AMERICAS, LLC",165533,STATE,,,,,2/3/2025,
"PAYNE FINANCIAL MANAGEMENT, L.L.C.",126418,STATE,,,,,3/25/2025,
ICAPITAL ADVISORS,173502,STATE,,,,,3/25/2025,
"CAPITAL BENCHMARK PARTNERS, LLC",175099,STATE,,,,,3/30/2025,
"ARAGLAN CAPITAL MANAGEMENT , LLC",152150,STATE,,,,,12/26/2023,
ADVISOR FINANCIAL GROUP,122678,STATE,,,,,3/25/2025,
YRN INDUSTRIES LLC,331806,STATE,,,,,5/5/2025,
"ONE UNDER WEALTH MANAGEMENT, LLC",323568,STATE,,,,,2/3/2025,
"ONEWEALTH INVESTMENT MANAGEMENT, LLC",285296,STATE,,,,,5/5/2025,
RSA CAPITAL,173899,STATE,,,,,9/2/2024,
T11 CAPITAL MANAGEMENT,166939,STATE,,,,,5/15/2023,
"RYAN FINANCIAL SOLUTIONS, LLC",312269,STATE,,,,,3/30/2025,
"ZIGGY WEALTH, LLC",328022,STATE,,,,,3/28/2024,
21ST CENTURY EQUITY ADVISORS CORPORATION,120336,STATE,,,,,2/3/2025,
NAV WEALTH PARTNERS,332638,STATE,,,,,3/25/2025,
"ANTHONY INVESTMENT MANAGEMENT, INC.",142931,STATE,,,,,3/25/2025,
GOUDA WEALTH PLANNING,332903,STATE,,,,,5/5/2025,
VALOR INVESTMENT MANAGEMENT,166558,STATE,,,,,3/25/2025,
ROCK SOLID CONSULTANTS LLC,329817,STATE,,,,,3/12/2024,
PROTECTED CAPITAL MANAGEMENT,106364,STATE,,,,,3/13/2025,
INFUSION MANAGEMENT LLC,335456,STATE,,,,,5/5/2025,
"GOLDSBOROUGH CAPITAL MANAGEMENT, LLC",163344,STATE,,,,,3/30/2025,
SCOTT & ASSOCIATES INVESTMENT ADVISORY SERVICES,135506,STATE,,,,,2/3/2025,
"KUBO FINANCIAL PLANNING AND INVESTMENTS, LLC",291436,STATE,,,,,2/3/2025,
BERAM PLAN MANAGEMENT,171665,STATE,,,,,3/1/2024,
RICHMARK PRIVATE WEALTH MANAGEMENT,290854,STATE,,,,,3/25/2025,
WESTLAKE CAPITAL INC,105473,STATE,,,,,12/18/2024,
WALNUT HILL WEALTH MANAGEMENT,324453,STATE,,,,,2/17/2025,
MARKETSIGNAL.AI,311667,STATE,,,,,3/31/2025,
PLANGUIDE FINANCIAL,329089,STATE,,,,,2/17/2025,
"PVB WEALTH MANAGEMENT, LLC",300092,STATE,,,,,5/22/2024,
"OVERLAY MANAGEMENT, LLC",324401,STATE,,,,,3/31/2025,
EMERALD BLUE ADVISORS,166113,STATE,,,,,3/15/2025,
PAUL R. WILLIAMS INVESTMENT ADVISOR,111780,STATE,,,,,2/17/2025,
JAMES CAPITAL MANAGEMENT LLC,159484,STATE,,,,,3/26/2025,
"WENTSEL WEALTH MANAGEMENT, LLC",286574,STATE,,,,,1/22/2025,
ASSETFUSION,332755,STATE,,,,,11/25/2024,
COMPREHENSIVE FINANCIAL PLANNING INC,109772,STATE,,,,,1/21/2025,
"GAINES, JOHN ANDREW",135700,STATE,,,,,3/26/2025,
"SIMAAN INVESTMENT MANAGEMENT, L.L.C.",289547,STATE,,,,,2/17/2025,
INCOMPARABLY DOPE VENTURE PARTNERS,332325,STATE,,,,,3/15/2025,
SUSTAINABLE FOOD VENTURES,311140,STATE,,,,,3/15/2025,
"LIFE'S SANCTUARY FINANCIAL PLANNING, LLC",309677,STATE,,,,,2/17/2025,
RUBIK CAPITAL INC,312376,STATE,,,,,2/17/2025,
"JHM ASSET MANAGEMENT, LLC",293157,STATE,,,,,1/21/2025,
ALTERNATIVE FINANCE LLC,331315,STATE,,,,,3/14/2025,
"FPC FUND I GP, LLC",312934,STATE,,,,,3/14/2025,
"FINANCIAL GROWTH MANAGEMENT, INC.",135420,STATE,,,,,3/26/2025,
"NAVIGO WEALTH MANAGEMENT, LLC",146265,STATE,,,,,3/26/2025,
CARRIE HOUCHINS-WITT TAX AND FINANCIAL SERVICES LLC,171715,STATE,,,,,3/26/2025,
"RPC WEALTH, LLC",221532,STATE,,,,,3/14/2025,
MEGSTAR FINANCIAL MANAGEMENT INC.,125514,STATE,,,,,5/23/2024,
"JONES FINANCIAL CONSULTING, LLC",146800,STATE,,,,,2/17/2025,
ACACIA GROVE WEALTH MANAGEMENT,332881,STATE,,,,,3/14/2025,
SWAD WEALTH MANAGEMENT LLC,319218,STATE,,,,,2/16/2025,
KOPLAN & ASSOCIATES,143042,STATE,,,,,2/17/2025,
BE YOUR BEST FINANCIAL,308905,STATE,,,,,2/17/2025,
SHORE FINANCIAL PLANNING,299824,STATE,,,,,3/31/2025,
"ARKA VENTURE LABS FUND MANAGEMENT, LLC",322698,STATE,,,,,3/14/2025,
BUSBEE WEALTH ADVISORS LLC,305784,STATE,,,,,2/17/2025,
INVESTA ASSET MANAGEMENT LLC,157546,STATE,,,,,3/26/2025,
"MONADNOCK CAPITAL PARTNERS, LLC",144176,STATE,,,,,3/31/2025,
"HF0 ADVISORS, LLC",325379,STATE,,,,,3/31/2025,
"JEFF ELLIOTT, CFP®",172781,STATE,,,,,3/18/2025,
"WELLINGTON ADAMS INVESTMENT ADVISORY, LLC",286055,STATE,,,,,3/31/2025,
FACTS WEALTH & FIDUCIARY ADVISORS,330739,STATE,,,,,2/17/2025,
"THAMES ASSET MANAGEMENT, INC",106559,STATE,,,,,2/17/2025,
"FREQUENCY CAPITAL ADVISORS, LLC",147604,STATE,,,,,2/4/2024,
ICONIC WEALTH MANAGEMENT,287846,STATE,,,,,3/31/2025,
OVERLAND PARK WEALTH MANAGEMENT LLC,171761,STATE,,,,,3/30/2025,
"RUSSELL WEALTH MANAGEMENT, LLC",168987,STATE,,,,,4/13/2023,
ROCKFORD FINANCIAL PLANNING,312048,STATE,,,,,3/6/2025,
CRAIG BURDO LLC,332858,STATE,,,,,8/15/2024,
SHONAN GOLD FINANCIAL LLC,318265,STATE,,,,,2/17/2025,
REDPOINT INVESTMENT ADVISORS,311737,STATE,,,,,1/2/2025,
CULTIVATE WEALTH LLC,331851,STATE,,,,,3/19/2025,
"ARIS CAPITAL STRATEGIES, LLC",327675,STATE,,,,,3/30/2025,
MERCER STREET PERSONAL FINANCIAL SERVICES,292972,STATE,,,,,1/4/2024,
YOUNG FINANCIAL & INSURANCE SERVICES,135388,STATE,,,,,3/30/2025,
"EVIDENCE WEALTH, LLC",314767,STATE,,,,,2/17/2025,
JACOBS FINANCIAL GROUP,294709,STATE,,,,,3/6/2025,
"ROMAN RETIREMENT PLANNING, LLC",306871,STATE,,,,,3/18/2025,
ATTICUS CAPITAL ADVISORS LLC,288009,STATE,,,,,3/7/2025,
"BENEFIT & INVESTMENT CONSULTING, LLC",136428,STATE,,,,,1/2/2025,
DFS CAPITAL MANAGEMENT,327508,STATE,,,,,1/2/2025,
RH KNAPP & CO.,107345,STATE,,,,,3/18/2025,
LANDPHAIR WEALTH MANAGEMENT LLC,283366,STATE,,,,,3/30/2025,
"LONG RUN CAPITAL MANAGEMENT, LLC",318723,STATE,,,,,3/30/2025,
"CASTLING FINANCIAL PLANNING, LTD.",150844,STATE,,,,,3/30/2025,
STEWARDSHIP FINANCIAL,281386,STATE,,,,,3/31/2025,
"X AND Y ADVISORS, INC.",287715,STATE,,,,,3/31/2025,
"BLOM LEVY & CO., LLC",153779,STATE,,,,,3/17/2025,
VETTER PLANNING,281856,STATE,,,,,3/17/2025,
"META4 FUND MANAGEMENT, LLC",322986,STATE,,,,,3/17/2025,
"MOUNTAIN WEALTH MANAGEMENT, LLC",309244,STATE,,,,,3/17/2025,
"BERING CAPITAL, L.L.C.",309731,STATE,,,,,3/31/2025,
"CFG WEALTH MANAGEMENT, LLC",174040,STATE,,,,,3/3/2025,
"PROPEL FINANCIAL ADVISORS, LLC",299279,STATE,,,,,3/26/2025,
MAINE ADVISORY ASSOCIATES,311679,STATE,,,,,3/31/2025,
"RUTHLESS FOR GOOD, LLC",332935,STATE,,,,,3/31/2025,
"HOUSE CAPITAL ADVISORS, LLC",289898,STATE,,,,,3/17/2025,
"MELLIG GROUP, LLC",283152,STATE,,,,,3/26/2025,
"MRM FINANCIAL ADVISORS, LLC",290753,STATE,,,,,3/31/2025,
"CONTRARIAN THINKING CAPITAL, LLC",321673,STATE,,,,,3/16/2025,
CAPITAL TRUST AND ASSOCIATES LLC,168455,STATE,,,,,3/31/2025,
CHRISTIANA ASSET MANAGEMENT LLC,145443,STATE,,,,,8/1/2024,
THE DR TEAM,332151,STATE,,,,,3/3/2025,
"CAPITAL ASSET MANAGEMENT GROUP, INC.",288745,STATE,,,,,3/3/2025,
"STEVENS GROUP WEALTH COACHES, INC. D/B/A ALASKA ADVISORS",309344,STATE,,,,,3/3/2025,
INLAND FINANCIAL PLANNING,315123,STATE,,,,,3/17/2025,
ASCENT SYSTEMATIC ADVISORS LLC,307199,STATE,,,,,3/26/2025,
MELCHIOR INVESTMENTS LLC,168543,STATE,,,,,3/13/2025,
"BREAKTHROUGH INVESTING, LLC",123840,STATE,,,,,5/6/2025,
"COLLOQUIUM ASSET MANAGEMENT, INC.",304446,STATE,,,,,2/7/2025,
"CEREBRUM FINANCIAL SERVICES, LLC",167030,STATE,,,,,5/14/2024,
BACK BAY FINANCIAL PLANNING & INVESTMENTS,335236,STATE,,,,,5/6/2025,
BRAY FINANCIAL ADVISORS LLC,297117,STATE,,,,,3/26/2025,
ELEMENTS 5 INVESTMENT MANAGEMENT,167731,STATE,,,,,3/31/2025,
"FREEDOM FINANCIAL PLANNING SOLUTIONS, LLC",292288,STATE,,,,,3/12/2024,
FOWLER WEALTH MANAGEMENT,332158,STATE,,,,,3/26/2025,
"WEALTHARCH INVESTMENT SERVICES, LLC",170601,STATE,,,,,2/7/2025,
JOSEPH JEKYLL ADVISERS LLC,142215,STATE,,,,,3/31/2025,
IMMOTUS FINANCIAL LLC,336194,STATE,,,,,5/6/2025,
PHOENIX-VERITAS WEALTH MANAGEMENT,333158,STATE,,,,,5/6/2025,
DIVERSIFIED CAPITAL GROUP,144648,STATE,,,,,2/7/2025,
"O'CONNOR CAPITAL ADVISORY, LLC",152687,STATE,,,,,3/12/2025,
FORWARD HORIZON INVESTMENT,328222,STATE,,,,,3/12/2025,
"HARRY S. BOWER, LLC",140303,STATE,,,,,3/12/2025,
ENDURE RETIREMENT LLC,298200,STATE,,,,,3/26/2025,
GEORGE FINANCIAL SERVICES,319091,STATE,,,,,2/7/2025,
"10 WEST ADVISORS, INC.",290598,STATE,,,,,5/14/2024,
PALISADE FINANCIAL,158695,STATE,,,,,5/14/2024,
"WILSON, CLARK ALLEN",121925,STATE,,,,,5/14/2024,
"OPES CAPITAL GROUP, LLC",166106,STATE,,,,,5/14/2024,
"DALE, BARRY N.",159037,STATE,,,,,3/26/2025,
COOP RECORDS MANAGEMENT LLC,323064,STATE,,,,,3/26/2025,
REVIRESCO INVESTMENT MANAGEMENT LLC,289864,STATE,,,,,3/25/2025,
POISE INVESTMENT ADVISORS,315434,STATE,,,,,1/21/2025,
INDEPENDENCE WEALTH,297032,STATE,,,,,2/27/2025,
PLANNED SECURITY ADVISORS LLC,330345,STATE,,,,,2/27/2025,
RINA PARTNERS LLC,328081,STATE,,,,,2/8/2024,
"MANOUSOS INVESTMENTS MANAGEMENT COMPANY, LLC",323031,STATE,,,,,3/25/2025,
EQUITY COMP FP,330020,STATE,,,,,5/2/2025,
"BELVEDERE DIRECT LENDING ADVISORS, LLC",317206,STATE,,,,,1/22/2025,
YOUR RICHEST LIFE,171609,STATE,,,,,3/25/2025,
FUTURE WEALTH LLC,283911,STATE,,,,,1/22/2025,
YOUNG & SCRAPPY,306508,STATE,,,,,3/24/2025,
"ADVENTEDGE FINANCIAL, LLC",314899,STATE,,,,,5/2/2025,
"SHAPIRO ASSET MANAGEMENT, LLC",146104,STATE,,,,,3/25/2025,
SOUTH LANE WEALTH MANAGEMENT LLC,167439,STATE,,,,,1/22/2025,
GREENBERG FINANCIAL GROUP,226707,STATE,,,,,3/31/2025,
